Player,Nation,Pos,Squad,Age,birth_year,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Tariq Lamptey,gh GHA,DF,Brighton,24-206,2000,13,9,765,8.5,2,2,4,2,0,0,0,0,0.4,0.4,0.8,1.2,25,12,40,0.24,0.24,0.47,0.24,0.47,0.05,0.09,0.14,0.05,0.14,Matches
Taylor Harwood-Bellis,eng ENG,DF,Southampton,23-084,2002,30,28,"2,474",27.5,1,0,1,1,0,0,8,0,1.7,1.7,1.0,2.7,28,112,8,0.04,0.00,0.04,0.04,0.04,0.06,0.04,0.10,0.06,0.10,Matches
Thiago,br BRA,FW,Brentford,23-302,2001,4,1,132,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,2,4,0.00,0.00,0.00,0.00,0.00,0.07,0.05,0.11,0.07,0.11,Matches
Thomas Partey,gh GHA,"MF,DF",Arsenal,31-315,1993,31,27,"2,437",27.1,4,2,6,4,0,0,4,0,2.0,2.0,1.9,4.0,31,165,45,0.15,0.07,0.22,0.15,0.22,0.07,0.07,0.15,0.07,0.15,Matches
Tim Iroegbunam,eng ENG,MF,Everton,21-298,2003,16,5,566,6.3,0,1,1,0,0,0,4,0,0.2,0.2,0.2,0.4,8,14,9,0.00,0.16,0.16,0.00,0.16,0.04,0.03,0.07,0.04,0.07,Matches
Timo Werner,de GER,"FW,MF",Tottenham,29-049,1996,18,4,516,5.7,0,3,3,0,0,0,0,0,1.0,1.0,2.5,3.5,42,30,89,0.00,0.52,0.52,0.00,0.52,0.17,0.44,0.61,0.17,0.61,Matches
Timothy Castagne,be BEL,DF,Fulham,29-140,1995,23,17,"1,625",18.1,0,1,1,0,0,0,1,0,0.4,0.4,1.2,1.6,17,61,67,0.00,0.06,0.06,0.00,0.06,0.02,0.07,0.09,0.02,0.09,Matches
Toby Collyer,eng ENG,MF,Manchester Utd,21-111,2004,6,0,179,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,0,5,2,0.00,0.00,0.00,0.00,0.00,0.09,0.13,0.22,0.09,0.22,Matches
Tom Cairney,sct SCO,MF,Fulham,34-094,1991,21,2,489,5.4,1,0,1,1,0,0,3,1,0.2,0.2,0.8,1.0,13,47,29,0.18,0.00,0.18,0.18,0.18,0.04,0.14,0.18,0.04,0.18,Matches
Tommy Doyle,eng ENG,MF,Wolves,23-189,2001,24,3,488,5.4,0,1,1,0,0,0,1,0,0.6,0.6,0.5,1.1,6,40,4,0.00,0.18,0.18,0.00,0.18,0.10,0.09,0.20,0.10,0.20,Matches
Tomáš Souček,cz CZE,MF,West Ham,30-056,1995,30,25,"2,161",24.0,7,1,8,7,0,0,8,0,5.3,5.3,1.0,6.3,6,66,58,0.29,0.04,0.33,0.29,0.33,0.22,0.04,0.26,0.22,0.26,Matches
Tosin Adarabioyo,eng ENG,DF,Chelsea,27-212,1997,20,13,"1,229",13.7,1,1,2,1,0,0,3,0,0.9,0.9,0.2,1.1,5,37,1,0.07,0.07,0.15,0.07,0.15,0.07,0.02,0.08,0.07,0.08,Matches
Toti Gomes,pt POR,DF,Wolves,26-098,1999,26,25,"2,164",24.0,0,1,1,0,0,0,5,0,0.7,0.7,0.9,1.6,21,64,12,0.00,0.04,0.04,0.00,0.04,0.03,0.04,0.07,0.03,0.07,Matches
Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-199,1998,29,26,"2,165",24.1,3,6,9,3,0,0,5,0,1.6,1.6,6.7,8.3,48,204,87,0.12,0.25,0.37,0.12,0.37,0.07,0.28,0.34,0.07,0.34,Matches
Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-293,1999,12,12,"1,060",11.8,3,0,3,3,0,0,1,0,1.2,1.2,0.4,1.6,11,34,6,0.25,0.00,0.25,0.25,0.25,0.10,0.03,0.14,0.10,0.14,Matches
Trevoh Chalobah,eng ENG,DF,Chelsea,25-293,1999,10,8,656,7.3,0,1,1,0,0,0,1,0,0.7,0.7,1.2,1.9,3,29,2,0.00,0.14,0.14,0.00,0.14,0.10,0.16,0.26,0.10,0.26,Matches
Tyler Adams,us USA,MF,Bournemouth,26-069,1999,23,16,"1,530",17.0,0,3,3,0,0,0,6,0,1.6,1.6,0.8,2.4,12,61,7,0.00,0.18,0.18,0.00,0.18,0.09,0.05,0.14,0.09,0.14,Matches
