player_name,transfer_value
Mohammed Kudus,€50.00m
Moisés Caicedo,€80.00m
Morgan Gibbs-White,€50.00m
Morgan Rogers,€50.00m
Murillo,€55.00m
Myles Lewis-Skelly,€28.00m
Nathan Collins,€28.00m
Neco Williams,€20.00m
Nick Pope,€10.00m
Nicolas Jackson,"€55.00m
Last update: Dec 16, 2024"
Nicolás Domínguez,"€17.00m
Last update: Dec 16, 2024"
Nikola Milenković,"€28.00m
Last update: Mar 18, 2025"
Noni Madueke,"€40.00m
Last update: Dec 16, 2024"
Noussair Mazraoui,"€32.00m
Last update: Dec 16, 2024"
Nélson Semedo,"€10.00m
Last update: Dec 16, 2024"
Ola Aina,€20.00m
Ollie Watkins,€50.00m
Omar Marmoush,€75.00m
Omari Hutchinson,"€22.00m
Last update: Dec 16, 2024"
Orel Mangala,"€20.00m
Last update: Dec 16, 2024"
Pape Matar Sarr,"€40.00m
Last update: Mar 18, 2025"
Pau Torres,€40.00m
Paul Onuachu,€8.00m
Pedro Neto,€50.00m
Pedro Porro,€45.00m
Pervis Estupiñán,€30.00m
Phil Foden,€130.00m
Radu Drăgușin,€25.00m
Rasmus Højlund,€45.00m
Rayan Aït-Nouri,€35.00m
Raúl Jiménez,€5.00m
Riccardo Calafiori,€40.00m
Rico Lewis,"€40.00m
Last update: Dec 16, 2024"
Robert Sánchez,€20.00m
Rodrigo Bentancur,"€30.00m
Last update: Mar 18, 2025"
Rodrigo Muniz,€20.00m
Ryan Christie,€12.00m
Ryan Gravenberch,€70.00m
Ryan Manning,€3.50m
Ryan Yates,€13.00m
Rúben Dias,€70.00m
Sam Morsy,€900k
Sammie Szmodics,€12.00m
Sander Berge,€25.00m
Sandro Tonali,"€45.00m
Last update: Mar 18, 2025"
Santiago Bueno,€8.00m
Saša Lukić,"€10.00m
Last update: Dec 16, 2024"
Sepp van den Berg,€20.00m
Son Heung-min,N/a
Stefan Ortega,"€9.00m
Last update: Dec 16, 2024"
Stephy Mavididi,€11.00m
Sávio,€55.00m
Taylor Harwood-Bellis,€25.00m
Thomas Partey,"€15.00m
Last update: Dec 16, 2024"
Timothy Castagne,€15.00m
Tomáš Souček,€22.00m
Tosin Adarabioyo,€20.00m
Toti Gomes,"€25.00m
Last update: Mar 18, 2025"
Trent Alexander-Arnold,€75.00m
Trevoh Chalobah,€17.00m
Tyler Adams,€18.00m
Tyler Dibling,€25.00m
Tyrick Mitchell,€25.00m
Tyrone Mings,€6.00m
Valentino Livramento,€35.00m
Victor Bernth Kristiansen,N/a
Virgil van Dijk,"€28.00m
Last update: Dec 16, 2024"
Vitaliy Mykolenko,"€28.00m
Last update: Dec 16, 2024"
Vitaly Janelt,€22.00m
Wes Burns,€2.50m
Wesley Fofana,"€27.00m
Last update: Mar 18, 2025"
Wilfred Ndidi,€18.00m
Will Hughes,€9.00m
William Saliba,"€80.00m
Last update: Dec 16, 2024"
Wout Faes,€20.00m
Yankuba Minteh,€30.00m
Yasin Ayari,€17.00m
Yehor Yarmoliuk,€12.00m
Yoane Wissa,"€30.00m
Last update: Mar 18, 2025"
Youri Tielemans,€35.00m
Yukinari Sugawara,€12.00m
Yves Bissouma,"€28.00m
Last update: Mar 18, 2025"
Álex Moreno,€11.00m
İlkay Gündoğan,"€7.00m
Last update: Mar 18, 2025"
Łukasz Fabiański,€700k
